date,zone,worker_id,worker_name
2025-08-10,zone_A,28,Betty
2025-08-10,zone_A,16,Peggy
2025-08-10,zone_A,24,Xena
2025-08-10,zone_A,18,Rupert
2025-08-10,zone_A,9,Ivan
2025-08-10,zone_B,10,Judy
2025-08-10,zone_B,20,Trent
2025-08-10,zone_B,1,Alice
2025-08-10,zone_B,29,Carl
2025-08-10,zone_B,13,Mallory
2025-08-10,zone_C,2,Bob
2025-08-10,zone_C,26,Zara
2025-08-10,zone_C,23,Walter
2025-08-10,zone_C,3,Charlie
2025-08-10,sorting,4,Diana
2025-08-10,moving,19,Sybil
2025-08-10,swapping,21,Uma
2025-08-10,unproductive,5,Eve
2025-08-10,unproductive,6,Frank
2025-08-10,unproductive,7,Grace
2025-08-10,unproductive,8,Heidi
2025-08-10,unproductive,11,Ken
2025-08-10,unproductive,12,Lara
2025-08-10,unproductive,14,Niaj
2025-08-10,unproductive,15,Olivia
2025-08-10,unproductive,17,Quinn
2025-08-10,unproductive,22,Victor
2025-08-10,unproductive,25,Yuri
2025-08-10,unproductive,27,Aaron
2025-08-10,unproductive,30,Daisy
2025-08-10,unproductive,31,Extra1
2025-08-10,unproductive,32,Extra2
2025-08-10,unproductive,33,Extra3
2025-08-10,unproductive,34,Extra4
2025-08-10,unproductive,35,Extra5
2025-08-10,unproductive,36,Extra6
2025-08-10,unproductive,37,Extra7
2025-08-10,unproductive,38,Extra8
2025-08-10,unproductive,39,Extra9
2025-08-10,unproductive,40,Extra10
